Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,Sentiment_mapped,clean_text,tokens,tb_polarity,tb_subjectivity,tb_sentiment
0,0, Enjoying a beautiful day at the park!              , Positive  ,2023-01-15 12:30:00, User123      , Twitter  , #Nature #Park                            ,15.0,30.0, USA      ,2023,1,15,12,Positive,enjoying beautiful day park,"['enjoying', 'beautiful', 'day', 'park']",0.75,0.8,Positive
1,1, Traffic was terrible this morning.                 , Negative  ,2023-01-15 08:45:00, CommuterX    , Twitter  , #Traffic #Morning                        ,5.0,10.0, Canada   ,2023,1,15,8,Negative,traffic terrible morning,"['traffic', 'terrible', 'morning']",-1.0,1.0,Negative
2,2, Just finished an amazing workout! 💪               , Positive  ,2023-01-15 15:45:00, FitnessFan   , Instagram , #Fitness #Workout                        ,20.0,40.0, USA        ,2023,1,15,15,Positive,finished amazing workout,"['finished', 'amazing', 'workout']",0.7500000000000001,0.9,Positive
3,3, Excited about the upcoming weekend getaway!        , Positive  ,2023-01-15 18:20:00, AdventureX   , Facebook , #Travel #Adventure                       ,8.0,15.0, UK       ,2023,1,15,18,Positive,excited upcoming weekend getaway,"['excited', 'upcoming', 'weekend', 'getaway']",0.46875,0.75,Positive
4,4, Trying out a new recipe for dinner tonight.        , Neutral   ,2023-01-15 19:55:00, ChefCook     , Instagram , #Cooking #Food                           ,12.0,25.0, Australia ,2023,1,15,19,Neutral,trying new recipe dinner tonight,"['trying', 'new', 'recipe', 'dinner', 'tonight']",0.13636363636363635,0.45454545454545453,Positive
5,5, Feeling grateful for the little things in life.    , Positive  ,2023-01-16 09:10:00, GratitudeNow , Twitter  , #Gratitude #PositiveVibes              ,25.0,50.0, India    ,2023,1,16,9,Positive,feeling grateful little thing life,"['feeling', 'grateful', 'little', 'thing', 'life']",-0.1875,0.5,Negative
6,6, Rainy days call for cozy blankets and hot cocoa.   , Positive  ,2023-01-16 14:45:00, RainyDays    , Facebook , #RainyDays #Cozy                         ,10.0,20.0, Canada   ,2023,1,16,14,Positive,rainy day call cozy blanket hot cocoa,"['rainy', 'day', 'call', 'cozy', 'blanket', 'hot', 'cocoa']",0.02500000000000001,0.8,Neutral
7,7, The new movie release is a must-watch!             , Positive  ,2023-01-16 19:30:00, MovieBuff    , Instagram , #MovieNight #MustWatch                  ,15.0,30.0, USA    ,2023,1,16,19,Positive,new movie release mustwatch,"['new', 'movie', 'release', 'mustwatch']",0.17045454545454544,0.45454545454545453,Positive
8,8, Political discussions heating up on the timeline.  , Negative  ,2023-01-17 08:00:00, DebateTalk   , Twitter  , #Politics #Debate                       ,30.0,60.0, USA      ,2023,1,17,8,Negative,political discussion heating timeline,"['political', 'discussion', 'heating', 'timeline']",0.0,0.1,Neutral
9,9, Missing summer vibes and beach days.               , Neutral   ,2023-01-17 12:20:00, BeachLover   , Facebook , #Summer #BeachDays                      ,18.0,35.0, Australia ,2023,1,17,12,Neutral,missing summer vibe beach day,"['missing', 'summer', 'vibe', 'beach', 'day']",-0.2,0.05,Negative
10,10, Just published a new blog post. Check it out!      , Positive  ,2023-01-17 15:15:00, BloggerX     , Instagram , #Blogging #NewPost                      ,22.0,45.0,USA,2023,1,17,15,Positive,published new blog post check,"['published', 'new', 'blog', 'post', 'check']",0.17045454545454544,0.45454545454545453,Positive
11,11, Feeling a bit under the weather today.             , Negative  ,2023-01-18 10:30:00, WellnessCheck, Twitter  , #SickDay #Health                        ,7.0,15.0, Canada   ,2023,1,18,10,Negative,feeling bit weather today,"['feeling', 'bit', 'weather', 'today']",0.0,0.0,Neutral
12,12, Exploring the city's hidden gems.                  , Positive  ,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,Positive,exploring city hidden gem,"['exploring', 'city', 'hidden', 'gem']",-0.16666666666666666,0.3333333333333333,Negative
